Item1,Item2,Year,Composition ratio,Tool Tips（Composition ratio）
Eat Japanese food,"If you were to come to Japan again in future, what would you like to do?",2016,58.018483101,58.018483101
Eat Japanese food,What did you do during your current stay in Japan?,2016,96.068175317,96.068175317
Eat Japanese food,What you wanted to do during this trip to Japan?,2016,71.224491952,71.224491952
Drink Japanese alcoholic beverages,"If you were to come to Japan again in future, what would you like to do?",2016,22.631646522,22.631646522
Drink Japanese alcoholic beverages,What did you do during your current stay in Japan?,2016,43.185167217,43.185167217
Drink Japanese alcoholic beverages,What you wanted to do during this trip to Japan?,2016,22.072383415,22.072383415
Stay in a Japanese-style inn,"If you were to come to Japan again in future, what would you like to do?",2016,28.414646445,28.414646445
Stay in a Japanese-style inn,What did you do during your current stay in Japan?,2016,34.015295535,34.015295535
Stay in a Japanese-style inn,What you wanted to do during this trip to Japan?,2016,21.988103785,21.988103785
Bathe in a hot spring,"If you were to come to Japan again in future, what would you like to do?",2016,42.140858815,42.140858815
Bathe in a hot spring,What did you do during your current stay in Japan?,2016,36.664618541,36.664618541
Bathe in a hot spring,What you wanted to do during this trip to Japan?,2016,29.646235454,29.646235454
Nature/scenery sightseeing,"If you were to come to Japan again in future, what would you like to do?",2016,45.391690813,45.391690813
Nature/scenery sightseeing,What did you do during your current stay in Japan?,2016,66.36401113,66.36401113
Nature/scenery sightseeing,What you wanted to do during this trip to Japan?,2016,47.864749387,47.864749387
Sports watching,"If you were to come to Japan again in future, what would you like to do?",2016,10.28630757,10.28630757
Sports watching,What did you do during your current stay in Japan?,2016,1.756798123,1.756798123
Sports watching,What you wanted to do during this trip to Japan?,2016,2.604790041,2.604790041
Stage or music performances,"If you were to come to Japan again in future, what would you like to do?",2016,13.175729886,13.175729886
Stage or music performances,What did you do during your current stay in Japan?,2016,4.267557052,4.267557052
Stage or music performances,What you wanted to do during this trip to Japan?,2016,4.435613233,4.435613233
Shopping,"If you were to come to Japan again in future, what would you like to do?",2016,45.185273078,45.185273078
Shopping,What did you do during your current stay in Japan?,2016,83.448533928,83.448533928
Shopping,What you wanted to do during this trip to Japan?,2016,54.451660083,54.451660083
"Galleries, museums, etc.","If you were to come to Japan again in future, what would you like to do?",2016,18.203938706,18.203938706
"Galleries, museums, etc.",What did you do during your current stay in Japan?,2016,20.532147747,20.532147747
"Galleries, museums, etc.",What you wanted to do during this trip to Japan?,2016,13.850154473,13.850154473
Theme parks,"If you were to come to Japan again in future, what would you like to do?",2016,22.218831919,22.218831919
Theme parks,What did you do during your current stay in Japan?,2016,20.734615631,20.734615631
Theme parks,What you wanted to do during this trip to Japan?,2016,16.370415768,16.370415768
Ski/snowboard,"If you were to come to Japan again in future, what would you like to do?",2016,17.078379283,17.078379283
Ski/snowboard,What did you do during your current stay in Japan?,2016,2.748678384,2.748678384
Ski/snowboard,What you wanted to do during this trip to Japan?,2016,4.227897352,4.227897352
Other sports,"If you were to come to Japan again in future, what would you like to do?",2016,6.940666597,6.940666597
Other sports,What did you do during your current stay in Japan?,2016,1.738379136,1.738379136
Other sports,What you wanted to do during this trip to Japan?,2016,1.752802773,1.752802773
"Nature experience tours and farming, mountain, and fishing village experiences","If you were to come to Japan again in future, what would you like to do?",2016,16.161852483,16.161852483
"Nature experience tours and farming, mountain, and fishing village experiences",What did you do during your current stay in Japan?,2016,6.859653958,6.859653958
"Nature experience tours and farming, mountain, and fishing village experiences",What you wanted to do during this trip to Japan?,2016,6.225033027,6.225033027
Seasons,"If you were to come to Japan again in future, what would you like to do?",2016,30.595536433,30.595536433
Seasons,What did you do during your current stay in Japan?,2016,11.640145942,11.640145942
Seasons,What you wanted to do during this trip to Japan?,2016,11.445452613,11.445452613
Visiting film/anime settings,"If you were to come to Japan again in future, what would you like to do?",2016,10.971237674,10.971237674
Visiting film/anime settings,What did you do during your current stay in Japan?,2016,4.775959255,4.775959255
Visiting film/anime settings,What you wanted to do during this trip to Japan?,2016,4.94958819,4.94958819
Walking in shopping districts,"If you were to come to Japan again in future, what would you like to do?",2016,30.716812318,30.716812318
Walking in shopping districts,What did you do during your current stay in Japan?,2016,73.303768716,73.303768716
Walking in shopping districts,What you wanted to do during this trip to Japan?,2016,40.981915022,40.981915022
Experience Japanese history/culture,"If you were to come to Japan again in future, what would you like to do?",2016,25.719109141,25.719109141
Experience Japanese history/culture,What did you do during your current stay in Japan?,2016,24.382139798,24.382139798
Experience Japanese history/culture,What you wanted to do during this trip to Japan?,2016,16.827820173,16.827820173
Experience Japanese everyday life,"If you were to come to Japan again in future, what would you like to do?",2016,22.593541437,22.593541437
Experience Japanese everyday life,What did you do during your current stay in Japan?,2016,23.06004064,23.06004064
Experience Japanese everyday life,What you wanted to do during this trip to Japan?,2016,15.805796391,15.805796391
Enjoy Japanese pop culture,"If you were to come to Japan again in future, what would you like to do?",2016,15.012817249,15.012817249
Enjoy Japanese pop culture,What did you do during your current stay in Japan?,2016,14.814784594,14.814784594
Enjoy Japanese pop culture,What you wanted to do during this trip to Japan?,2016,10.425930342,10.425930342
Medical treatment/Medical check-up,"If you were to come to Japan again in future, what would you like to do?",2016,3.900634423,3.900634423
Medical treatment/Medical check-up,What did you do during your current stay in Japan?,2016,1.194757157,1.194757157
Medical treatment/Medical check-up,What you wanted to do during this trip to Japan?,2016,0.944968488,0.944968488
None in particular,"If you were to come to Japan again in future, what would you like to do?",2016,2.395724227,2.395724227
None in particular,What did you do during your current stay in Japan?,2016,0.505375915,0.505375915
None in particular,What you wanted to do during this trip to Japan?,2016,6.509263571,6.509263571
Eat Japanese food,"If you were to come to Japan again in future, what would you like to do?",2017,55.431694151,55.431694151
Eat Japanese food,What did you do during your current stay in Japan?,2017,95.779402796,95.779402796
Eat Japanese food,What you wanted to do during this trip to Japan?,2017,68.257910789,68.257910789
Drink Japanese alcoholic beverages,"If you were to come to Japan again in future, what would you like to do?",2017,22.643651056,22.643651056
Drink Japanese alcoholic beverages,What did you do during your current stay in Japan?,2017,45.222705333,45.222705333
Drink Japanese alcoholic beverages,What you wanted to do during this trip to Japan?,2017,22.001518787,22.001518787
Stay in a Japanese-style inn,"If you were to come to Japan again in future, what would you like to do?",2017,25.963752432,25.963752432
Stay in a Japanese-style inn,What did you do during your current stay in Japan?,2017,29.170466437,29.170466437
Stay in a Japanese-style inn,What you wanted to do during this trip to Japan?,2017,18.121754415,18.121754415
Bathe in a hot spring,"If you were to come to Japan again in future, what would you like to do?",2017,41.208826396,41.208826396
Bathe in a hot spring,What did you do during your current stay in Japan?,2017,33.943113801,33.943113801
Bathe in a hot spring,What you wanted to do during this trip to Japan?,2017,26.514972388,26.514972388
Nature/scenery sightseeing,"If you were to come to Japan again in future, what would you like to do?",2017,42.879178758,42.879178758
Nature/scenery sightseeing,What did you do during your current stay in Japan?,2017,65.470494369,65.470494369
Nature/scenery sightseeing,What you wanted to do during this trip to Japan?,2017,45.428133961,45.428133961
