Item1,Item2,Year,Composition ratio,Tool Tips（Composition ratio）
Stay in a Japanese-style inn,What did you do during your current stay in Japan?,2023,22.411,22.411
Stay in a Japanese-style inn,What you wanted to do during this trip to Japan?,2023,18.7786,18.7786
Bathe in a hot spring,"If you were to come to Japan again in future, what would you like to do?",2023,48.2048,48.2048
Bathe in a hot spring,What did you do during your current stay in Japan?,2023,28.4639,28.4639
Bathe in a hot spring,What you wanted to do during this trip to Japan?,2023,26.4683,26.4683
Nature/scenery sightseeing,"If you were to come to Japan again in future, what would you like to do?",2023,45.8988,45.8988
Nature/scenery sightseeing,What did you do during your current stay in Japan?,2023,62.8045,62.8045
Nature/scenery sightseeing,What you wanted to do during this trip to Japan?,2023,49.3921,49.3921
Sports watching,"If you were to come to Japan again in future, what would you like to do?",2023,10.2773,10.2773
Sports watching,What did you do during your current stay in Japan?,2023,1.8998,1.8998
Sports watching,What you wanted to do during this trip to Japan?,2023,2.7871,2.7871
Stage or music performances,"If you were to come to Japan again in future, what would you like to do?",2023,8.7794,8.7794
Stage or music performances,What did you do during your current stay in Japan?,2023,3.6749,3.6749
Stage or music performances,What you wanted to do during this trip to Japan?,2023,3.899,3.899
Shopping,"If you were to come to Japan again in future, what would you like to do?",2023,44.2765,44.2765
Shopping,What did you do during your current stay in Japan?,2023,84.2981,84.2981
Shopping,What you wanted to do during this trip to Japan?,2023,60.9039,60.9039
"Galleries, museums, etc.","If you were to come to Japan again in future, what would you like to do?",2023,17.6918,17.6918
"Galleries, museums, etc.",What did you do during your current stay in Japan?,2023,32.8063,32.8063
"Galleries, museums, etc.",What you wanted to do during this trip to Japan?,2023,24.619,24.619
Theme parks,"If you were to come to Japan again in future, what would you like to do?",2023,23.3729,23.3729
Theme parks,What did you do during your current stay in Japan?,2023,25.5761,25.5761
Theme parks,What you wanted to do during this trip to Japan?,2023,22.6825,22.6825
Ski/snowboard,"If you were to come to Japan again in future, what would you like to do?",2023,15.1311,15.1311
Ski/snowboard,What did you do during your current stay in Japan?,2023,2.192,2.192
Ski/snowboard,What you wanted to do during this trip to Japan?,2023,3.2267,3.2267
Other sports,"If you were to come to Japan again in future, what would you like to do?",2023,2.3613,2.3613
Other sports,What did you do during your current stay in Japan?,2023,1.8976,1.8976
Other sports,What you wanted to do during this trip to Japan?,2023,2.2479,2.2479
"Nature experience tours and farming, mountain, and fishing village experiences","If you were to come to Japan again in future, what would you like to do?",2023,17.9579,17.9579
"Nature experience tours and farming, mountain, and fishing village experiences",What did you do during your current stay in Japan?,2023,8.6787,8.6787
"Nature experience tours and farming, mountain, and fishing village experiences",What you wanted to do during this trip to Japan?,2023,7.8098,7.8098
Seasons,"If you were to come to Japan again in future, what would you like to do?",2023,27.3307,27.3307
Seasons,What did you do during your current stay in Japan?,2023,13.8821,13.8821
Seasons,What you wanted to do during this trip to Japan?,2023,13.1935,13.1935
Visiting film/anime settings,"If you were to come to Japan again in future, what would you like to do?",2023,10.8518,10.8518
Visiting film/anime settings,What did you do during your current stay in Japan?,2023,7.4839,7.4839
Visiting film/anime settings,What you wanted to do during this trip to Japan?,2023,7.0289,7.0289
Walking in shopping districts,"If you were to come to Japan again in future, what would you like to do?",2023,26.5433,26.5433
Walking in shopping districts,What did you do during your current stay in Japan?,2023,74.4691,74.4691
Walking in shopping districts,What you wanted to do during this trip to Japan?,2023,51.7481,51.7481
Experience Japanese history/culture,"If you were to come to Japan again in future, what would you like to do?",2023,26.7078,26.7078
Experience Japanese history/culture,What did you do during your current stay in Japan?,2023,31.7903,31.7903
Experience Japanese history/culture,What you wanted to do during this trip to Japan?,2023,26.6657,26.6657
Experience Japanese everyday life,"If you were to come to Japan again in future, what would you like to do?",2023,23.1197,23.1197
Experience Japanese everyday life,What did you do during your current stay in Japan?,2023,26.6956,26.6956
Experience Japanese everyday life,What you wanted to do during this trip to Japan?,2023,21.48,21.48
Enjoy Japanese pop culture,"If you were to come to Japan again in future, what would you like to do?",2023,13.2779,13.2779
Enjoy Japanese pop culture,What did you do during your current stay in Japan?,2023,16.2318,16.2318
Enjoy Japanese pop culture,What you wanted to do during this trip to Japan?,2023,13.6911,13.6911
Medical treatment/Medical check-up,"If you were to come to Japan again in future, what would you like to do?",2023,0.7678,0.7678
Medical treatment/Medical check-up,What did you do during your current stay in Japan?,2023,0.7037,0.7037
Medical treatment/Medical check-up,What you wanted to do during this trip to Japan?,2023,0.7511,0.7511
Other,"If you were to come to Japan again in future, what would you like to do?",2023,0.3257,0.3257
None in particular,"If you were to come to Japan again in future, what would you like to do?",2023,0.4941,0.4941
None in particular,What did you do during your current stay in Japan?,2023,0,0
None in particular,What you wanted to do during this trip to Japan?,2023,3.5835,3.5835
Eat Japanese food,"If you were to come to Japan again in future, what would you like to do?",2024,65.2458,65.2458
Eat Japanese food,What did you do during your current stay in Japan?,2024,97.9181,97.9181
Eat Japanese food,What you wanted to do during this trip to Japan?,2024,82.2095,82.2095
Drink Japanese alcoholic beverages,"If you were to come to Japan again in future, what would you like to do?",2024,25.1039,25.1039
Drink Japanese alcoholic beverages,What did you do during your current stay in Japan?,2024,47.963,47.963
Drink Japanese alcoholic beverages,What you wanted to do during this trip to Japan?,2024,32.1967,32.1967
Stay in a Japanese-style inn,"If you were to come to Japan again in future, what would you like to do?",2024,28.8187,28.8187
Stay in a Japanese-style inn,What did you do during your current stay in Japan?,2024,23.3104,23.3104
Stay in a Japanese-style inn,What you wanted to do during this trip to Japan?,2024,18.0786,18.0786
Bathe in a hot spring,"If you were to come to Japan again in future, what would you like to do?",2024,46.9136,46.9136
Bathe in a hot spring,What did you do during your current stay in Japan?,2024,27.4945,27.4945
Bathe in a hot spring,What you wanted to do during this trip to Japan?,2024,24.276,24.276
Nature/scenery sightseeing,"If you were to come to Japan again in future, what would you like to do?",2024,46.7057,46.7057
Nature/scenery sightseeing,What did you do during your current stay in Japan?,2024,67.8189,67.8189
Nature/scenery sightseeing,What you wanted to do during this trip to Japan?,2024,53.6215,53.6215
Sports watching,"If you were to come to Japan again in future, what would you like to do?",2024,9.9748,9.9748
Sports watching,What did you do during your current stay in Japan?,2024,1.9746,1.9746
Sports watching,What you wanted to do during this trip to Japan?,2024,2.597,2.597
Stage or music performances,"If you were to come to Japan again in future, what would you like to do?",2024,9.009,9.009
Stage or music performances,What did you do during your current stay in Japan?,2024,4.4784,4.4784
Stage or music performances,What you wanted to do during this trip to Japan?,2024,4.3907,4.3907
Shopping,"If you were to come to Japan again in future, what would you like to do?",2024,45.7691,45.7691
Shopping,What did you do during your current stay in Japan?,2024,85.9955,85.9955
Shopping,What you wanted to do during this trip to Japan?,2024,62.7968,62.7968
"Galleries, museums, etc.","If you were to come to Japan again in future, what would you like to do?",2024,19.4472,19.4472
"Galleries, museums, etc.",What did you do during your current stay in Japan?,2024,33.4661,33.4661
"Galleries, museums, etc.",What you wanted to do during this trip to Japan?,2024,25.4816,25.4816
Theme parks,"If you were to come to Japan again in future, what would you like to do?",2024,22.6683,22.6683
Theme parks,What did you do during your current stay in Japan?,2024,24.0965,24.0965
Theme parks,What you wanted to do during this trip to Japan?,2024,20.8799,20.8799
Ski/snowboard,"If you were to come to Japan again in future, what would you like to do?",2024,15.8778,15.8778
Ski/snowboard,What did you do during your current stay in Japan?,2024,2.6744,2.6744
Ski/snowboard,What you wanted to do during this trip to Japan?,2024,3.4731,3.4731
Other sports,"If you were to come to Japan again in future, what would you like to do?",2024,2.3615,2.3615
Other sports,What did you do during your current stay in Japan?,2024,1.8861,1.8861
Other sports,What you wanted to do during this trip to Japan?,2024,2.0368,2.0368
"Nature experience tours and farming, mountain, and fishing village experiences","If you were to come to Japan again in future, what would you like to do?",2024,17.3791,17.3791
"Nature experience tours and farming, mountain, and fishing village experiences",What did you do during your current stay in Japan?,2024,8.1497,8.1497
"Nature experience tours and farming, mountain, and fishing village experiences",What you wanted to do during this trip to Japan?,2024,7.4047,7.4047
Seasons,"If you were to come to Japan again in future, what would you like to do?",2024,26.9488,26.9488
Seasons,What did you do during your current stay in Japan?,2024,16.7072,16.7072
Seasons,What you wanted to do during this trip to Japan?,2024,15.8151,15.8151
Visiting film/anime settings,"If you were to come to Japan again in future, what would you like to do?",2024,11.8044,11.8044
Visiting film/anime settings,What did you do during your current stay in Japan?,2024,8.0716,8.0716
Visiting film/anime settings,What you wanted to do during this trip to Japan?,2024,7.3508,7.3508
Walking in shopping districts,"If you were to come to Japan again in future, what would you like to do?",2024,29.3329,29.3329
Walking in shopping districts,What did you do during your current stay in Japan?,2024,78.6296,78.6296
Walking in shopping districts,What you wanted to do during this trip to Japan?,2024,54.7056,54.7056
Experience Japanese history/culture,"If you were to come to Japan again in future, what would you like to do?",2024,25.429,25.429
Experience Japanese history/culture,What did you do during your current stay in Japan?,2024,31.5684,31.5684
Experience Japanese history/culture,What you wanted to do during this trip to Japan?,2024,26.773,26.773
Experience Japanese everyday life,"If you were to come to Japan again in future, what would you like to do?",2024,22.3284,22.3284
Experience Japanese everyday life,What did you do during your current stay in Japan?,2024,26.6758,26.6758
Experience Japanese everyday life,What you wanted to do during this trip to Japan?,2024,21.1407,21.1407
Enjoy Japanese pop culture,"If you were to come to Japan again in future, what would you like to do?",2024,13.6681,13.6681
Enjoy Japanese pop culture,What did you do during your current stay in Japan?,2024,18.3902,18.3902
Enjoy Japanese pop culture,What you wanted to do during this trip to Japan?,2024,15.4618,15.4618
Medical treatment/Medical check-up,"If you were to come to Japan again in future, what would you like to do?",2024,0.8587,0.8587
Medical treatment/Medical check-up,What did you do during your current stay in Japan?,2024,0.6585,0.6585
Medical treatment/Medical check-up,What you wanted to do during this trip to Japan?,2024,0.6567,0.6567
Other,"If you were to come to Japan again in future, what would you like to do?",2024,0.883,0.883
None in particular,"If you were to come to Japan again in future, what would you like to do?",2024,0.333,0.333
None in particular,What did you do during your current stay in Japan?,2024,0,0
None in particular,What you wanted to do during this trip to Japan?,2024,2.945,2.945
