"","Activity","Year","All","Australia"
"122","History/culture",2023,31.7903,68.4105
"123","Everyday life",2023,26.6956,50.4311
"124","Pop culture",2023,16.2318,28.8962
"125","Medical",2023,0.7037,1.438
"126","Nothing specific",2023,0,0
"127","Food",2024,97.9181,99.5625
"128","Alcohol",2024,47.963,66.5155
"129","Ryokan",2024,23.3104,27.1449
"130","Hot spring",2024,27.4945,34.7633
"131","Nature sightseeing",2024,67.8189,83.9318
"132","Sports watching",2024,1.9746,7.1561
"133","Shows",2024,4.4784,4.9386
"134","Shopping",2024,85.9955,84.8747
"135","Exhibit",2024,33.4661,62.712
"136","Theme parks",2024,24.0965,36.0678
"137","Ski/snowboard",2024,2.6744,16.713
"138","Other sports",2024,1.8861,4.6835
"139","Nature tour",2024,8.1497,16.0986
"140","Seasonal event",2024,16.7072,25.7514
"141","Pop-culture tourism",2024,8.0716,10.6195
"142","Shopping districts",2024,78.6296,86.7254
"143","History/culture",2024,31.5684,67.4978
"144","Everyday life",2024,26.6758,51.7201
"145","Pop culture",2024,18.3902,29.6196
"146","Medical",2024,0.6585,1.1635
"147","Nothing specific",2024,0,0
